,1000,10000,100000
50,1.6479721892651915,1.6642726946236857,1.675989946908481
100,1.6293673107142137,1.6713294555202707,1.6631231951123409
200,1.6188859250221264,1.663491682048817,1.6601698492389678
400,1.6269528818022825,1.664535278371177,1.6632734480943356
