,1000,10000,100000
50,1.680397289624728,1.6727898543808981,1.660763248341756
100,1.6095178894204063,1.6462470489750725,1.6616975934430847
200,1.6243958157244978,1.664838529392466,1.6719259704473783
400,1.7027262231150848,1.656893956955022,1.6660834811588574
