,1000,10000,100000
50,1.661709543624986,1.6815524637091743,1.6617051731132249
100,1.6141673236174638,1.672910442887108,1.6637824019663325
200,1.650774260680829,1.6429168327763248,1.6705615603694612
400,1.6409783884620412,1.6564128461433782,1.6682012210401118
